dataset,method,group,top_features,class_coverage,reconstruction_accuracy,reconstruction_std,semantic_preservation
nyt,clustering,0,41,0.6187619200573069,0.812,0.019390719429665294,1.0
nyt,clustering,0,42,0.6187619200573069,0.8119999999999999,0.02399999999999998,1.0
nyt,clustering,0,43,0.6187619200573069,0.818,0.020396078054371113,1.0
nyt,clustering,0,44,0.6187619200573069,0.8140000000000001,0.016248076809271893,1.0
nyt,clustering,0,45,0.706733289376045,0.844,0.018547236990991426,1.0
nyt,clustering,0,46,0.706733289376045,0.844,0.020591260281973982,1.0
nyt,clustering,0,47,0.706733289376045,0.8460000000000001,0.023323807579381187,1.0
nyt,clustering,0,48,0.7135937301583467,0.852,0.017204650534085267,1.0
nyt,clustering,0,49,0.7135937301583467,0.8459999999999999,0.02059126028197398,1.0
nyt,clustering,0,50,0.7135937301583467,0.8540000000000001,0.013564659966250548,1.0
nyt,featurization,0,1,0.3482676019681487,0.39200000000000007,0.0040000000000000036,0.0
nyt,featurization,0,2,0.3831842236503342,0.476,0.026532998322843202,0.0
nyt,featurization,0,3,0.44713272704954254,0.524,0.024166091947189165,0.0
nyt,featurization,0,4,0.555725397947683,0.6759999999999999,0.024166091947189126,0.0
nyt,featurization,0,5,0.555725397947683,0.6839999999999999,0.01743559577416266,1.0
nyt,featurization,0,6,0.555725397947683,0.6799999999999999,0.017888543819998284,1.0
nyt,featurization,0,7,0.555725397947683,0.718,0.025612496949731386,1.0
nyt,featurization,0,8,0.555725397947683,0.7540000000000001,0.027276363393971735,1.0
nyt,featurization,0,9,0.5783885500747464,0.7939999999999999,0.028705400188814633,1.0
nyt,featurization,0,10,0.585036739452611,0.78,0.028284271247461894,1.0
nyt,featurization,0,11,0.5859755134312215,0.784,0.027276363393971704,1.0
nyt,featurization,0,12,0.5859755134312215,0.782,0.02785677655436823,1.0
nyt,featurization,0,13,0.5859755134312215,0.79,0.03033150177620618,1.0
nyt,featurization,0,14,0.6250914148803336,0.8100000000000002,0.02756809750418042,2.0
nyt,featurization,0,15,0.6250914148803336,0.808,0.02993325909419151,2.0
nyt,featurization,0,16,0.695085585686807,0.828,0.026381811916545834,2.0
nyt,featurization,0,17,0.695085585686807,0.8320000000000001,0.029257477676655597,2.0
nyt,featurization,0,18,0.695085585686807,0.85,0.03162277660168379,2.0
nyt,featurization,0,19,0.695085585686807,0.85,0.029664793948382652,2.0
nyt,featurization,0,20,0.6987310750366874,0.8540000000000001,0.028000000000000025,2.0
